"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"TMED6",0.231265472222221,5.682721875,0.758667452594024,0.461421467070847,0.662574695920701,-5.68411955426894,"Stable"
"IMP3",0.18264963888889,3.13411394444444,0.758480435974433,0.461529607511923,0.662672240742928,-5.68425601890971,"Stable"
"LINC00888",0.181335680555556,5.7186274375,0.758430917178823,0.461558243895519,0.662672240742928,-5.68429214727766,"Stable"
"SRSF3",0.280705625,10.2640870763889,0.758356698210934,0.461601166297461,0.662672240742928,-5.68434629259683,"Stable"
"GNB4",-0.30089577777778,7.60730227777778,-0.758349602569527,0.461605269987697,0.662672240742928,-5.68435146886137,"Stable"
"BARD1",0.431938694444443,7.97997119444444,0.75825367889416,0.461660748679382,0.662672836789574,-5.68442144077484,"Stable"
"XKRX",0.210038916666667,4.49397091666667,0.758248712347589,0.461663621258762,0.662672836789574,-5.68442506342287,"Stable"
"GRID1-AS1",0.58627870138889,3.83049087152778,0.758152573267852,0.461719228922462,0.662709343159742,-5.68449518395757,"Stable"
"PIK3CG",0.427729548611111,6.22851805902778,0.758074199776861,0.461764563909921,0.662709343159742,-5.68455234089233,"Stable"
"FBXO38",0.221152,10.3866378472222,0.758054494167812,0.461775963016537,0.662709343159742,-5.68456671113211,"Stable"
"NPRL2",-0.531662569444446,8.84994999305556,-0.757984505688971,0.461816450681377,0.662715442620861,-5.68461774721176,"Stable"
"TUBA1A",-0.319432583333329,9.43051088888889,-0.757946991965473,0.461838152922791,0.662715442620861,-5.68464510071004,"Stable"
"IPO4",0.355632430555558,7.38475135416667,0.757798003442189,0.461924351257991,0.662797557509741,-5.68475372497569,"Stable"
"NPIPA5",0.187765736111111,3.84197521527778,0.757672438972324,0.461997005237854,0.662860229040463,-5.68484525617451,"Stable"
"CNR2",0.238126263888887,4.74691454861111,0.757544811557039,0.462070860180327,0.662924615709323,-5.68493827701595,"Stable"
"RTN4IP1",-0.488095069444445,6.55738709027778,-0.757435099764275,0.462134353663912,0.662946718586167,-5.68501822870342,"Stable"
"LOC101928551",0.233647805555555,4.53502620833333,0.75741804142839,0.462144226319881,0.662946718586167,-5.68503065889668,"Stable"
"SSX2",0.325255111111111,5.17834316666667,0.757270220731559,0.462229784304396,0.662991603067844,-5.6851383632866,"Stable"
"STXBP4",0.561491951388887,5.23866903819444,0.757263836811189,0.462233479512548,0.662991603067844,-5.68514301427594,"Stable"
"ISM1",0.254361770833332,3.86450844791667,0.757071280579916,0.462344945598227,0.663109904420379,-5.68528328385434,"Stable"
"MAPK6",0.454972541666667,9.23847671527778,0.756982610932693,0.462396279919523,0.663137627272609,-5.68534786524871,"Stable"
"PLEKHA5",-0.392374763888887,6.96149988194444,-0.756937752250253,0.462422251715888,0.663137627272609,-5.68538053486677,"Stable"
"HCCS",-0.4510535,7.02209938888889,-0.75679216687434,0.462506547431616,0.663183018216164,-5.6854865494286,"Stable"
"LOC101927129",-0.212210743055554,4.44210750347222,-0.75678294968009,0.462511884622341,0.663183018216164,-5.68549326071925,"Stable"
"SH3RF1",0.20862728472222,7.33582944097222,0.756675869237201,0.462573892068754,0.663230357565955,-5.68557122345386,"Stable"
"LOC202181",-0.654589138888887,7.10435861111111,-0.756549777216334,0.462646915258181,0.663266210667705,-5.6856630151822,"Stable"
"TGIF2LY",0.329975138888887,3.59531536111111,0.756507471530988,0.462671417197186,0.663266210667705,-5.68569380950389,"Stable"
"TRIM47",-0.44234247222222,9.47616977777778,-0.756482500413491,0.462685879954329,0.663266210667705,-5.68571198525185,"Stable"
"9-Sep",0.469750347222224,8.20807563194444,0.75623790641863,0.462827558654024,0.663427735557959,-5.6858899891849,"Stable"
"NOM1",-0.238482319444445,4.57809054861111,-0.75604537554362,0.462939099305793,0.663511175423244,-5.68603006715211,"Stable"
"RFC2",0.489277291666667,7.6503373125,0.756037299850168,0.46294377823616,0.663511175423244,-5.68603594200201,"Stable"
"ERC2-IT1",0.671742402777777,6.38370735416667,0.755845691130994,0.46305480196966,0.663627091241524,-5.68617531542101,"Stable"
"TCHP",-0.253043305555554,8.38823340277778,-0.75577870011636,0.463093622448332,0.663627091241524,-5.68622403612405,"Stable"
"ZNRF2P1",0.446819472222221,3.27769502083333,0.755675436174021,0.463153466617953,0.663627091241524,-5.68629912941121,"Stable"
"TIMM8B",-0.668566729166665,8.02689277430555,-0.755612131552636,0.463190155691599,0.663627091241524,-5.68634515975444,"Stable"
"ASNS",-0.462916229166668,9.24270521180556,-0.755548882377468,0.46322681443809,0.663627091241524,-5.68639114627183,"Stable"
